RowID,Name,Latitude,Longitude,dwx_cluster,distance,kcluster,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral
1,Aberfeldy,56.62533821,-3.848830914,4,41.44961442,4,-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,-0.491880305,1.103453698,0.654742084,0.316063762,0.25509887,0.355664176
2,Aberlour,57.46763444,-3.228155527,13,18.62463036,4,1.00567291,0.994668051,-0.622988325,-0.555251526,-0.362738125,3.249015001,2.071859465,1.103453698,0.654742084,1.914974556,1.545599036,0.355664176
3,Ancnoc,57.44198121,-2.783748191,13,15.02078928,1,-1.156523847,0.994668051,0.541728978,-0.555251526,-0.362738125,0.891080064,-1.77375019,-1.053296711,0.654742084,0.316063762,1.545599036,0.355664176
4,Ardbeg,55.64066288,-6.107465167,10,10.34014676,2,2.086771289,-1.809969731,2.871163586,3.508717088,-0.362738125,-1.466854874,0.78998958,-1.053296711,-0.569340942,0.316063762,-1.035401296,-1.997191141
5,Ardmore,57.35077581,-2.74208104,13,24.75976179,4,-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,-0.287887405,-0.491880305,0.025078493,0.654742084,1.914974556,-1.035401296,-0.820763483
6,Arranisleof,55.69919925,-5.277748285,19,20.80228368,3,-0.075425468,0.994668051,-0.622988325,0.460740628,-0.362738125,-0.287887405,-0.491880305,0.025078493,-1.793423968,-1.282847033,-1.035401296,0.355664176
7,Auchentoshan,55.92244359,-4.438076149,18,9.501000996,1,-2.237622225,-0.40765084,-1.787705629,-0.555251526,-0.362738125,-0.287887405,-0.491880305,-1.053296711,0.654742084,0.316063762,1.545599036,1.532091834
8,Auchroisk,57.52411508,-2.989341913,13,3.172599558,4,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,1.103453698,0.654742084,0.316063762,0.25509887,-0.820763483
9,Aultmore,57.52411508,-2.989341913,13,3.172599558,1,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,-1.053296711,0.654742084,0.316063762,0.25509887,0.355664176
10,Balblair,57.84303252,-4.176370967,21,12.73788289,3,-0.075425468,0.994668051,0.541728978,0.460740628,-0.362738125,-1.466854874,0.78998958,-1.053296711,0.654742084,-1.282847033,0.25509887,-0.820763483
11,Balmenach,57.32593626,-3.532214652,17,36.00751149,0,2.086771289,0.994668051,0.541728978,-0.555251526,-0.362738125,0.891080064,-0.491880305,2.181828902,1.87882511,-2.881757827,-1.035401296,0.355664176
12,Belvenie,57.45308069,-3.121994864,13,14.36114741,4,1.00567291,-0.40765084,-0.622988325,-0.555251526,-0.362738125,2.070047532,0.78998958,0.025078493,-1.793423968,0.316063762,0.25509887,0.355664176
13,Bennevis,56.8351396,-5.072202198,4,52.12925395,4,2.086771289,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,0.78998958,-1.053296711,0.654742084,0.316063762,0.25509887,0.355664176
14,Benriach,57.60915021,-3.281301233,17,17.21935133,1,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,-1.053296711,-1.793423968,0.316063762,1.545599036,0.355664176
15,Benrinnes,57.44374535,-3.2363531,13,20.37980279,4,1.00567291,-0.40765084,0.541728978,-0.555251526,-0.362738125,2.070047532,-0.491880305,0.025078493,0.654742084,1.914974556,0.25509887,0.355664176
16,Benromach,57.61399964,-3.61832143,17,5.22509857,4,-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,0.78998958,0.025078493,0.654742084,0.316063762,0.25509887,0.355664176
17,Bladnoch,54.85813656,-4.457729329,23,30.61105707,1,-1.156523847,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-1.466854874,-0.491880305,0.025078493,-1.793423968,0.316063762,0.25509887,1.532091834
18,Blairathol,56.69821744,-3.71715557,4,40.83100786,4,-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,-0.287887405,0.78998958,1.103453698,0.654742084,0.316063762,0.25509887,0.355664176
19,Bowmore,55.75609591,-6.282787288,10,8.517159996,3,-0.075425468,-0.40765084,1.706446282,0.460740628,-0.362738125,0.891080064,0.78998958,0.025078493,-0.569340942,-1.282847033,-1.035401296,0.355664176
20,Bruichladdich,55.76854715,-6.358354891,10,11.65544719,4,-1.156523847,-1.809969731,0.541728978,1.476732781,-0.362738125,0.891080064,0.78998958,0.025078493,0.654742084,0.316063762,0.25509887,0.355664176
21,Bunnahabhain,55.88255994,-6.12261301,10,23.91410158,1,-1.156523847,-0.40765084,-0.622988325,0.460740628,-0.362738125,-0.287887405,-0.491880305,0.025078493,-0.569340942,0.316063762,0.25509887,1.532091834
22,Caol Ila,55.85488553,-6.108323992,10,21.42848186,2,1.00567291,-1.809969731,2.871163586,1.476732781,2.75680975,-1.466854874,0.78998958,-1.053296711,0.654742084,-1.282847033,-1.035401296,-0.820763483
23,Cardhu,57.47101618,-3.354173467,17,23.3461162,1,-1.156523847,0.994668051,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,-1.053296711,0.654742084,0.316063762,0.25509887,0.355664176
24,Clynelish,58.01396136,-3.85777912,21,22.60133365,2,1.00567291,-0.40765084,1.706446282,2.492724935,2.75680975,-1.466854874,0.78998958,-1.053296711,-0.569340942,-1.282847033,0.25509887,-1.997191141
25,Craigallechie,57.4891529,-3.185832811,13,15.31657627,4,-0.075425468,-0.40765084,0.541728978,-0.555251526,2.75680975,0.891080064,0.78998958,0.025078493,0.654742084,0.316063762,-1.035401296,2.708519493
26,Craigganmore,57.41026643,-3.388391284,17,28.50846549,1,-0.075425468,0.994668051,0.541728978,0.460740628,-0.362738125,-1.466854874,-0.491880305,-1.053296711,0.654742084,0.316063762,0.25509887,0.355664176
27,Dailuaine,57.45315688,-3.274673445,13,21.83511407,0,2.086771289,-0.40765084,0.541728978,-0.555251526,-0.362738125,-0.287887405,0.78998958,1.103453698,0.654742084,0.316063762,0.25509887,-0.820763483
28,Dalmore,57.68884041,-4.23775734,21,21.66612954,0,1.00567291,-0.40765084,0.541728978,0.460740628,-0.362738125,-0.287887405,0.78998958,1.103453698,-0.569340942,0.316063762,1.545599036,-0.820763483
29,Dalwhinnie,56.93875293,-4.240962884,4,0.80160471,1,-0.075425468,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,-0.491880305,-1.053296711,-0.569340942,0.316063762,0.25509887,0.355664176
30,Deanston,56.18947415,-4.069742703,20,11.3409444,4,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,0.025078493,-0.569340942,1.914974556,0.25509887,-0.820763483
31,Dufftown,57.43830278,-3.126873924,13,15.74908767,1,-0.075425468,0.994668051,-0.622988325,0.460740628,-0.362738125,-1.466854874,-1.77375019,-1.053296711,-0.569340942,0.316063762,0.25509887,0.355664176
32,Edradour,56.70169675,-3.699344993,4,41.42774766,4,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,0.025078493,3.102908136,0.316063762,0.25509887,0.355664176
33,Glendeveronmacduff,57.63292801,-2.466948675,13,30.46629554,3,-0.075425468,0.994668051,-0.622988325,0.460740628,2.75680975,-0.287887405,-0.491880305,1.103453698,-1.793423968,0.316063762,-2.325901462,-0.820763483
34,Glenelgin,57.63290184,-3.295705372,17,15.87124849,1,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,0.025078493,-0.569340942,-1.282847033,0.25509887,1.532091834
35,Glengarioch,57.33864313,-2.315339745,1,16.24703143,1,-0.075425468,-1.809969731,1.706446282,-0.555251526,-0.362738125,-1.466854874,2.071859465,0.025078493,-1.793423968,0.316063762,0.25509887,0.355664176
36,Glengrant,57.53070991,-3.209062798,13,15.52524802,1,-1.156523847,-0.40765084,-1.787705629,-0.555251526,-0.362738125,-0.287887405,-1.77375019,0.025078493,0.654742084,-1.282847033,0.25509887,-0.820763483
37,Glenkeith,57.52411508,-2.989341913,13,3.172599558,3,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,0.025078493,0.654742084,-1.282847033,0.25509887,-0.820763483
38,Glenmoray,57.64390475,-3.343347609,17,12.9419781,1,-1.156523847,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,0.025078493,0.654742084,0.316063762,0.25509887,2.708519493
39,Glenord,57.52382658,-4.474861252,9,15.87309043,4,1.00567291,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,0.025078493,-0.569340942,0.316063762,0.25509887,0.355664176
40,Glenscotia,55.42983519,-5.602641972,2,6.204200777,3,-0.075425468,-0.40765084,0.541728978,1.476732781,-0.362738125,-0.287887405,-1.77375019,0.025078493,0.654742084,0.316063762,-1.035401296,-0.820763483
41,Glenspey,57.52687181,-3.206430554,13,15.4143268,3,-1.156523847,0.994668051,-0.622988325,-0.555251526,-0.362738125,-1.466854874,-0.491880305,0.025078493,-0.569340942,0.316063762,-2.325901462,0.355664176
42,Glenallachie,57.45571326,-3.225255448,13,19.11284841,1,-1.156523847,0.994668051,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,-1.053296711,-0.569340942,0.316063762,0.25509887,0.355664176
43,Glendronach,57.49315484,-2.647360351,13,18.91277984,0,2.086771289,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,-0.491880305,3.260204107,0.654742084,0.316063762,0.25509887,-1.997191141
44,Glendullan,57.44827778,-3.116514893,13,14.51323498,0,1.00567291,-0.40765084,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,1.103453698,-0.569340942,0.316063762,1.545599036,0.355664176
45,Glenfarclas,57.42711999,-3.316574487,13,25.43482802,4,-0.075425468,2.396986941,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,2.181828902,0.654742084,1.914974556,0.25509887,0.355664176
46,Glenfiddich,57.45308069,-3.121994864,13,14.36114741,1,-1.156523847,0.994668051,-0.622988325,-0.555251526,-0.362738125,-1.466854874,-1.77375019,-1.053296711,-1.793423968,0.316063762,0.25509887,0.355664176
47,Glengoyne,56.01508228,-4.361430208,18,20.38002622,1,-1.156523847,-0.40765084,-1.787705629,-0.555251526,-0.362738125,-0.287887405,-0.491880305,0.025078493,0.654742084,0.316063762,1.545599036,0.355664176
48,Glenkinchie,55.89016352,-2.889385073,5,28.58310733,1,-1.156523847,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,-1.053296711,-1.793423968,0.316063762,0.25509887,0.355664176
49,Glenlivet,57.34263156,-3.336648321,13,32.14296405,4,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,1.103453698,-0.569340942,0.316063762,0.25509887,1.532091834
50,Glenlossie,57.63290184,-3.295705372,17,15.87124849,1,-1.156523847,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,0.78998958,-1.053296711,-0.569340942,0.316063762,0.25509887,0.355664176
51,Glenmorangie,57.82387878,-4.075343569,21,6.497784556,1,-0.075425468,-0.40765084,-0.622988325,0.460740628,-0.362738125,-0.287887405,0.78998958,-1.053296711,0.654742084,-1.282847033,0.25509887,0.355664176
52,Glenrothes,57.52712369,-3.208276035,13,15.52038434,3,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,1.103453698,-0.569340942,0.316063762,0.25509887,-1.997191141
53,Glenturret,56.39072202,-3.852836403,20,30.91877496,4,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,1.103453698,0.654742084,0.316063762,-1.035401296,0.355664176
54,Highland Park,58.96742661,-2.95061327,15,3.263440276,3,-0.075425468,-0.40765084,1.706446282,0.460740628,-0.362738125,0.891080064,-0.491880305,0.025078493,-0.569340942,0.316063762,-1.035401296,-0.820763483
55,Inchgower,57.66220372,-2.961986349,13,13.24076118,3,-1.156523847,0.994668051,-0.622988325,0.460740628,-0.362738125,0.891080064,0.78998958,-1.053296711,-0.569340942,0.316063762,-1.035401296,0.355664176
56,Isle Of Jura,55.83308351,-5.950363362,10,25.52820584,3,-0.075425468,-1.809969731,0.541728978,1.476732781,-0.362738125,-0.287887405,-0.491880305,-1.053296711,0.654742084,-1.282847033,-1.035401296,-0.820763483
57,Knochando,57.45748603,-3.342337511,17,24.99868745,4,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,0.025078493,0.654742084,-1.282847033,0.25509887,0.355664176
58,Lagavulin,55.63566928,-6.124910259,10,9.644935758,2,2.086771289,-1.809969731,2.871163586,3.508717088,2.75680975,-1.466854874,-0.491880305,1.103453698,-0.569340942,-1.282847033,-1.035401296,-1.997191141
59,Laphroig,55.62962367,-6.152097302,10,8.667278493,2,2.086771289,-0.40765084,2.871163586,3.508717088,2.75680975,-1.466854874,-1.77375019,0.025078493,-0.569340942,-1.282847033,-2.325901462,-1.997191141
60,Linkwood,57.63290184,-3.295705372,17,15.87124849,1,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,1.103453698,-1.793423968,-1.282847033,1.545599036,0.355664176
61,Loch Lomond,55.994341,-4.575724942,18,19.46525425,1,-1.156523847,-1.809969731,-0.622988325,0.460740628,-0.362738125,-0.287887405,-0.491880305,-1.053296711,-0.569340942,0.316063762,-1.035401296,0.355664176
62,Longmorn,57.63290184,-3.295705372,17,15.87124849,4,1.00567291,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,0.025078493,1.87882511,1.914974556,0.25509887,1.532091834
63,Macallan,57.48500967,-3.205884003,13,16.59957071,0,2.086771289,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,3.260204107,0.654742084,0.316063762,1.545599036,-0.820763483
64,Mannochmore,57.63290184,-3.295705372,17,15.87124849,1,-0.075425468,-1.809969731,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-0.491880305,0.025078493,0.654742084,-1.282847033,0.25509887,0.355664176
65,Miltonduff,57.63290184,-3.295705372,17,15.87124849,3,-0.075425468,2.396986941,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,-1.053296711,0.654742084,-1.282847033,-1.035401296,0.355664176
66,Mortlach,57.44422852,-3.117224693,13,14.873075,0,1.00567291,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,2.071859465,2.181828902,0.654742084,-1.282847033,0.25509887,0.355664176
67,Oban,56.41540063,-5.470685357,19,69.27384346,3,-0.075425468,-0.40765084,0.541728978,1.476732781,-0.362738125,-1.466854874,0.78998958,-1.053296711,0.654742084,0.316063762,0.25509887,-1.997191141
68,Oldfettercairn,56.84678043,-2.477774577,8,13.01172735,4,-1.156523847,-0.40765084,0.541728978,-0.555251526,2.75680975,0.891080064,0.78998958,0.025078493,0.654742084,1.914974556,-1.035401296,-0.820763483
69,Oldpulteney,58.43523857,-3.083705555,24,2.10880246,2,-0.075425468,-1.809969731,0.541728978,1.476732781,2.75680975,-1.466854874,-0.491880305,0.025078493,0.654742084,0.316063762,0.25509887,0.355664176
70,Royalbrackla,57.53786713,-3.9038294,9,20.21408352,3,-0.075425468,0.994668051,0.541728978,0.460740628,2.75680975,-0.287887405,0.78998958,0.025078493,-1.793423968,0.316063762,1.545599036,0.355664176
71,Royallochnagar,57.03467513,-3.217132512,13,58.79022131,0,1.00567291,-0.40765084,0.541728978,-0.555251526,-0.362738125,0.891080064,0.78998958,1.103453698,0.654742084,0.316063762,1.545599036,-0.820763483
72,Scapa,58.96413799,-2.993825164,15,5.496558712,4,-0.075425468,-0.40765084,-0.622988325,0.460740628,-0.362738125,0.891080064,-0.491880305,0.025078493,0.654742084,0.316063762,0.25509887,0.355664176
73,Speyburn,57.54730621,-3.220975795,13,16.17547251,3,-0.075425468,2.396986941,-0.622988325,-0.555251526,-0.362738125,0.891080064,-0.491880305,-1.053296711,-1.793423968,0.316063762,-1.035401296,0.355664176
74,Speyside,57.08059042,-4.000805867,4,21.61008058,1,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,0.025078493,0.654742084,0.316063762,0.25509887,0.355664176
75,Springbank,55.42902662,-5.599563518,2,6.412719219,3,-0.075425468,-0.40765084,0.541728978,1.476732781,-0.362738125,0.891080064,0.78998958,0.025078493,0.654742084,-1.282847033,-2.325901462,-0.820763483
76,Strathisla,57.52411508,-2.989341913,13,3.172599558,4,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,1.103453698,1.87882511,1.914974556,1.545599036,0.355664176
77,Strathmill,57.54121895,-2.958128161,13,0.537424314,1,-0.075425468,0.994668051,-0.622988325,-0.555251526,-0.362738125,-1.466854874,0.78998958,-1.053296711,0.654742084,-1.282847033,1.545599036,0.355664176
78,Talisker,57.30130875,-6.351103334,12,18.70864286,2,2.086771289,-0.40765084,1.706446282,2.492724935,-0.362738125,-0.287887405,2.071859465,-1.053296711,-0.569340942,0.316063762,0.25509887,-1.997191141
79,Tamdhu,57.45914625,-3.346732778,17,24.70470345,1,-1.156523847,-0.40765084,-0.622988325,-0.555251526,-0.362738125,0.891080064,-1.77375019,0.025078493,-0.569340942,0.316063762,0.25509887,0.355664176
80,Tamnavulin,57.31893397,-3.308884255,13,32.92249253,1,-1.156523847,0.994668051,0.541728978,-0.555251526,-0.362738125,-1.466854874,0.78998958,-1.053296711,0.654742084,-1.282847033,0.25509887,1.532091834
81,Teaninich,57.69196888,-4.258926792,21,22.39471933,1,-0.075425468,-0.40765084,0.541728978,0.460740628,-0.362738125,-1.466854874,0.78998958,-1.053296711,-1.793423968,-2.881757827,0.25509887,0.355664176
82,Tobermory,56.6209789,-6.068454248,22,52.01775692,1,-1.156523847,-1.809969731,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,-1.053296711,-0.569340942,0.316063762,0.25509887,0.355664176
83,Tomatin,57.34133642,-4.008653117,9,19.89625016,3,-0.075425468,0.994668051,0.541728978,-0.555251526,-0.362738125,0.891080064,0.78998958,0.025078493,-0.569340942,0.316063762,-2.325901462,-0.820763483
84,Tomintoul,57.31290371,-3.409626018,13,37.59467879,3,-2.237622225,0.994668051,-0.622988325,-0.555251526,-0.362738125,0.891080064,0.78998958,0.025078493,-0.569340942,0.316063762,-1.035401296,0.355664176
85,Tormore,57.39734059,-3.411535327,17,29.40689274,3,-0.075425468,-0.40765084,-0.622988325,-0.555251526,-0.362738125,-0.287887405,-1.77375019,0.025078493,0.654742084,-1.282847033,-2.325901462,-1.997191141
86,Tullibardine,56.25939804,-3.780928183,20,18.67331631,3,-0.075425468,0.994668051,-1.787705629,-0.555251526,2.75680975,-1.466854874,0.78998958,0.025078493,-0.569340942,0.316063762,0.25509887,-0.820763483
