paired_characters,values,,,,,,,,,,,,,,,,,,,,,,,,,,,Paired+O:W Values,,,,,,,,,
Body-Sweetness,-0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
Body-Smoky,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body-Medicinal,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body-Tobacco,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Sweetness,-0.128,,,,,,,,
Body-Honey,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Smoky,0.452,,,,,,,,
Body-Spicy,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal,0.191,,,,,,,,
Body-Winey,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco,0.167,,,,,,,,
Body-Nutty,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey,0.1,,,,,,,,
Body-Malty,-0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy,0.202,,,,,,,,
Body-Fruity,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey,0.356,,,,,,,,
Body-Floral,-0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty,0.127,,,,,,,,
Sweetness-Smoky,-0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty,-0.102,,,,,,,,
Sweetness-Medicinal,-0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Fruity,0.017,,,,,,,,
Sweetness-Tobacco,-0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Floral,-0.419,,,,,,,,
Sweetness-Honey,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Smoky,-0.371,,,,,,,,
Sweetness-Spicy,-0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Medicinal,-0.316,,,,,,,,
Sweetness-Winey,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Tobacco,-0.131,,,,,,,,
Sweetness-Nutty,-0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Honey,0.108,,,,,,,,
Sweetness-Malty,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Spicy,-0.042,,,,,,,,
Sweetness-Fruity,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Winey,0.08,,,,,,,,
Sweetness-Floral,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Nutty,-0.046,,,,,,,,
Smoky-Medicinal,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Malty,-0.022,,,,,,,,
Smoky-Tobacco,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Fruity,0.044,,,,,,,,
Smoky-Honey,-0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweetness-Floral,0.14,,,,,,,,
Smoky-Spicy,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Tobacco,,,,,,,,,
Smoky-Winey,-0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Honey,,,,,,,,,
Smoky-Nutty,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Spicy,,,,,,,,,
Smoky-Malty,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Winey,,,,,,,,,
Smoky-Fruity,-0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Nutty,,,,,,,,,
Smoky-Floral,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Malty,,,,,,,,,
Medicinal-Tobacco,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Fruity,,,,,,,,,
Medicinal-Honey,-0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Body-Floral,,,,,,,,,
Medicinal-Spicy,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Medicinal-Sweetness-Smoky,,,,,,,,,
Medicinal-Winey,-0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Honey,,,,,,,,,
Medicinal-Nutty,-0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Spicy,,,,,,,,,
Medicinal-Malty,-0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Winey,,,,,,,,,
Medicinal-Fruity,-0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Nutty,,,,,,,,,
Medicinal-Floral,-0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Malty,,,,,,,,,
Tobacco-Honey,-0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Fruity,,,,,,,,,
Tobacco-Spicy,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Body-Floral,,,,,,,,,
Tobacco-Winey,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Tobacco-Sweetness-Smoky,,,,,,,,,
Tobacco-Nutty,-0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Spicy,,,,,,,,,
Tobacco-Malty,-0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Winey,,,,,,,,,
Tobacco-Fruity,-0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Nutty,,,,,,,,,
Tobacco-Floral,-0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Malty,,,,,,,,,
Honey-Spicy,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Fruity,,,,,,,,,
Honey-Winey,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Body-Floral,,,,,,,,,
Honey-Nutty,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Honey-Sweetness-Smoky,,,,,,,,,
Honey-Malty,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Winey,,,,,,,,,
Honey-Fruity,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Nutty,,,,,,,,,
Honey-Floral,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Malty,,,,,,,,,
Spicy-Winey,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Fruity,,,,,,,,,
Spicy-Nutty,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Floral,,,,,,,,,
Spicy-Malty,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Sweetness-Smoky,,,,,,,,,
Spicy-Fruity,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Nutty,,,,,,,,,
Spicy-Floral,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Malty,,,,,,,,,
Winey-Nutty,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Fruity,,,,,,,,,
Winey-Malty,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Floral,,,,,,,,,
Winey-Fruity,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Sweetness-Smoky,,,,,,,,,
Winey-Floral,-0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Malty,,,,,,,,,
Nutty-Malty,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Fruity,,,,,,,,,
Nutty-Fruity,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Floral,,,,,,,,,
Nutty-Floral,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Sweetness-Smoky,,,,,,,,,
Malty-Fruity,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Body-Fruity,,,,,,,,,
Malty-Floral,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Body-Floral,,,,,,,,,
Fruity-Floral,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Fruity-Body-Floral,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Fruity-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Floral-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Floral-Sweetness-Medicinal,,,,,,,,,
